previous utterance by the teller	drawer's utterance	next utterance by the teller	is CR?	impossible to know?
dude has star hat , frisbee near him pointing right but near him , no the girl is lower , guy s stomach is aligned with horizon	so the frisbee looks like it is on the ground near his feet to the left ?	no near his left hand	1	
---	what size is boy ?	---	1	
cloud is plain . next girl , happy boy running right and holding pie on both hands .	is this a burger , pizza , or pie in his hands . i do n't see a pie	move girl up , waist is at horizon , boy is at same level than girl .	1	
yes sun right tree covers the left sky ,	which way is the cat facing and the boy facing ?	cat right , boy left	1	
i only get one chance to peek so i will wait until everything is in frame . boy shocked .	ah , i see . ok , what else ?	large crying girl with legs crossed is on right of boy facing left with hand in the air	0	
a happy boy sits face left with open arms , on the right	is the girl in the picture , and if so where is she located which girl ?	in the middle , there is a big slide facing left .	1	
large facing right . he 's close to the bottom . the girl is on the left the boy is on the right . they are small and so is the sandbox	what position is boy in ? how are his arms ?	sorry , the bear is facing left . they are both sitting with legs out facing each other . the sandbox is in the middle	1	
grill on the right side of mike medium size	dude eyes where are they compared to skyline	in the middle and a large sun in the right corner half cut off	1	
---	thanks . great job .	---	0	
great . i think we 're done .	yes think so thank you		0	
it looks perfect !	where does the fire go	right in the middle , but closest to the cat	1	
girls hand is touching boy 's elbow	ok got that , girl is facing right ?	she 's facing the boy	1	
so bolt rain reg . the rain has the left and right sides being the other clouds .	so it 's rain cloud left , regular than bolt cloud on right	behind . no bolt rain reg .	1	
arms open towards the duck	ok use chance	looks good	0	
make sure there 's a small triangle of blue sky in the upper right hand corner . keep in mind the other factors .	is any of cloud cut off ?	the cloud cuts off at the top and a little on the right .	1	
standing like with surprise pointing to the left at fire	can you see all of the tent ? some aligning points ?	bear a bit down then fire a bit up then girl a bit up then tent a bit down and some of tent not seen	1	
the boy is right and the girl on the left they are facing each other and they are both touching the pie	are they separated by the cat ?	they are 1 1 2 inch from the bottom 1 inch from the left	1	
sad girl standing on left eyes even with horizon holding yellow bottle in left hand	facing which way ? what size girl ?	large tent below cloud about one inch from bottom of pick back slightly cut off	1	
girl hide boy one leg and half of the body	is that it , go check	boy move to plane right wing and girl move to plane left wing near the dog	0	
make boy smaller , cat move a little left and tree up higher . sun is smaller and we 're done .	perfect done ! thanks		0	
---	what size is the sandbox ?	---	1	
there is a round tree with red fruit on the left side of the scene . about a third is cut off by the edge of the scene .	is apple tree small ?	no .	1	
	i 'm a patient worker ready to go .	right top corner big cloud . cut from right a bit	0	
	alright . let 's do this . let 's be quick . the last person i worked with was dreadfully slow . first item ?	left hand side medium bushy tree starts middle of grass cut off at top and left . bear overlapping tree facing right	0	
edge	which edge of the table is touching the girl 's leg ?	your image is close so we are good	1	
reaching out to the left	as if holding something ? same question for the boy	yes and boy his arms are out to each side	1	
and last above the boy is a small rocket ship face left	i got the rocket ship right above him	yes	1	
	how far up from the bottom are the girl and boy ?		1	
small apple tree on the right bushy small tree on left hole facing right	are either of them cut off	yellow duck in middle big soccer ball on the right of duck	1	
girl 2 inches to right of ball . happy jumping . hand touches top of grass	where does boy align in relation to the horizon ?	he is 1 2 inch below horizon swing set 1 2 inch to her right . can see all of it but close to right edge . facing left . red splits horizon	1	
ok . the owl is on the kite . there part withe the red orange green . the cat is at the bottom of the string .	you can see the kite top ? i think i got it	ill look after to help . left of cat is the girl . she is 1 . 5 inches from bottom very close to girl . beach ball corvering her kicking foot	1	
there is a large sun , top right corner , top and side are cut off .	left or right . tree is on right	sorry the tree is on the left side . there is a large slide on the right side , steps are on right , top rung is right above horizon .	1	
there is a large bear on the right hand side , an inch up from bottom . mound to the left	is bears foot touching sandbox ?	a quarter of the bear body is cut off on the right hand side , he 's facing left	1	
put her covering slide , and put small hole tree to right of boy and you got it	hiding slide ?	yes	1	
medium tree on left , cut left on left and a little top .	hole of tree facing ?	medium sun on right , one inch from right border and touches top .	1	
im bad with the sizes . thanks and sorry . and the ball to the front right pole at the girls foot	no problem . we 're good .	thanks bye !	0	
boy size medium , except cap , boy and girl and slide looking right side	who is wearing a cap ? with horns ?	not a cap except cat	1	
sand mound to left . red shovel bottom leaning against sand mound , touching boys right foot	gpt ot	are you ready for me to check ?	0	
smiling . basketball in right hand , cloud aligned to his right hand .	both hands are the right ?	oh . he 's facing the right . so the right hand from facing right .	1	
no clouds , on l to r of table there 's a cat , ketchup bottle , and pizza	is the cat looking at the kids ?	yes	1	
top of two lumps on top of cloud are cut off lump on right side is cut off too	excellent ! okay what 's in the grass ? let 's go from left to right , if that 's okay .	medium dog is facing right . sandbox dune on left , small pink pail sits on dune , small duck in middle . medium slide on right	1	
---	okay done and ?	---	0	
there is a small sun that is at the top left corner . part of the red edges are cut off at top and side . small dog at bottom left corner .	is any of the dog cut off ? is he facing right ?	dog is facing right and it 's feet are basically touching bottom edge . at dog 's ear is a pole from the swing set front pole .	1	
yes beach near dog , baseball near dude	ok got it , thanks a lot for the great instructions	thank you	0	
on the right hand side touching the edge an apple tree , medium size the leaves are about halfway to the grass line .	ok , was the apple tree taking up over half the screen .	medium size hot air balloon , not sure ? a medium tent left side facing left .	1	
---	boy facing left or right ?	---	1	
yes there is a pine tree on the right sort of in the background and a slide with a baseball about to slide down	wow lots of stuff in this one	oh the slide is in the front of the picture on the very right	0	
a snake is on the left facing right with balloons tied around it . boy has hands out holding hot dog sitting	girl is sitting , boy is sad ?	they 're both sitting	1	
yes hole faces left . in middle of tree sits a mad bog sits with legs out and faces right	big or medium sized ?	big size . on front boy sits a happy girl with legs on front , she faces left .	1	
done	thanks , i 'll finish up .	any questions ?	0	
in front of his leg he is kicking there is a duck . right on top of the duck is a soccer ball . duck is facing right	in his mouth open , teeth showing , or not	mouth is open . he has a hat with a star on his head	1	
hot dog and burger on table , clouds are small , table medium	rain is over table ?	make table larger and clouds biggest and you got it	1	
large girl on left shoulders at horizon line in front of tree , she is standing faced right	is the tree on the left ? which position girl face ?	angry arms out with red and grey hat on there is a frisbee in grass between girl and boy at feet level	1	
not just yet . the circle disk is between them and is orange yellow and bottom of tree is directly above the circle	ok think i have it .	people need to be the smaller and the tree smaller and make sure when u do that the tree is still slightly cut off .	0	
let me know if i should look	is boy smiling or frowning ?	he is frowning	1	
put sunway up , put tree down a bit , turn the girl face , put boy on slide and we done , thanks	i ca n't seem to figure how to show boy at bottom of slide but i think placement is right		0	
in front of the slide is a large boy standing with arms up , open mouth , facing right . about 1 inch from the edge and very close to bottom	what expression is on the boy 's face ?	surprise look . in the center is a large girl standing with arms up , mad face and facing right . her feet are very close to bottom	1	
a mad girl , in the floor facing right at the end of the slide , like she just went off it , and a little cube in front of her feet	is girl stand or sit ?	an apple tree behind the slide , 1 3 inche from left to right , small , the girl is sitting is angry facing right	1	
---	which way is owl facing ?	---	1	
a ball is in middle of feet of kids .	a soccer ball and what size	it is good , only move girl a little up . thanks .	1	
---	ok cool	---	0	
correction . girl is holding string . kite is above boys head . cloud is a bit behind tree and a little not shown on the right .	ok anything else . meaning the string goes in front of the boys body ?	yes and i can check	1	
directly to the left of the girls head is a medium snake facing right .	so medium kids right , they have on inch far from skyline is that correct	correct . in the bottom left corner is a medium bear facing right . the bear is close to the bottom and edge	1	
i think we have it and ready to submit . thank you !	submitting ! ty !		0	
you can only put one	yes . read what you said , and tell me again please	oh sorry dude is waving , sorry then girl sitting	0	
there is a tree on the far right and about 1 3 is off the page , and the baseball has the tree as it 's background , but no other part of her .	what kind of tree , apple , pine , fluffy ?	the base of the trunk is at the same level as her hips . tall tree	1	
girl i right hand side . sorry	i knew what you meant lol	facing left towards boy	0	
---	one sec	---	0	
left	so her right hand is in the air correct ?	left hand is in the air	1	
---	what objects are in the scene ?	---	0	
boy behind her , sitting , legs crossed , surprised , her head covers his right arm and leg , half his head is in blue	nice . next ?	move bear up a little , flip sunglasses and move boy a little more to the left	0	
grill	ok . lol	small picnic table next to grill . right leg almost touches side of grill .	0	
we should be all done	great , submitting then , thanks		0	
right side sitting boy , facing left . legs out , smile , holds hamburger . legs under grill a bit .	should i add anything else ?	right side , big size dog , half dog is cut from right edge .	0	
forgot to say both dog and cat are facing right	okay , fixed the cat .	ok i will check	0	
the sandbox is large and should be in the middle of the grass section with the left edge cut off just a little bit . the girl has a drink	ok . how does it look ? am i close ?	sun is bigger and the sandbox should be moved to touch the left edge . plane is smaller .	0	
cloud one bigger , table one bigger and move her more to the left and we can submit	the table is already the biggest size	okay ,	0	
---	ok next please	---	0	
boy with hand on hip is 1 inch from right edge . his bent elbow on hip is at horizon outstretched hand is holding a large burger	is the boy behind the girl ?	no right of grill 1 inch from edge	1	
under the right side of the cloud is jenny looking to the right mad with 1 leg up and a ball in her hand	what ball is in jenny 's hand ?	tennis	1	
place a bush tree far left hole if facing right in the middle of the grass with a owl in the front	done i have no idea if this stuff is small med or large	small tree everything else is medium	1	
	is he covering the tree trunk ?	the left side it should be cut off on and the top .	1	
on the left , there is a tree , almost of the leaves are above the line of the grass .	where the dog is ?	the dog in on the left behind the boy	1	
there is a girl with both arms up on the left side of the screen facing right , and a boy kicking a ball on the right side of the screen .	are there other objects or accessories ?	there is the beach ball to the left of the boy and a helicopter in the middle of the sky and a cloud to the right of the helicopter .	0	
middle line almost touching bottom campfire	where does the fire go ?	the red parts of the swingset are above horizon . sitting legs out happy girl is in the triangle of the left side of swing set .	1	
girl is holding balloons and the toy she is sitting on is yellow	of anything else	there is one cloud in the sky	0	
	go ahead and start !	1 2 inch from left edge is large sun the top rays 4 rays are cut off .	0	
---	k done	---	0	
on top of tent , towards back is owl , facing right . sitting in front of tent is sad boy legs out , girl is sitting facing left ,	boy facing which direction ? and what is the expression of girl ?	legs are out , she is shocked girls legs are blocking boys . off right edge is a dog , same level as kids , facing left .	1	
i see a girl with a hot dog in her hand on the left , a boy standing in front of a slide on the right , and a pet dog between them	what is the girls position	she has one leg in the air aiming towards the boy	1	
almost perfect just move the cloud and rocket over a little and that is all	move it left or right ?	left	1	
under sun at the bottom is large smiling boy facing right . four fingers cut out of side .	is balloon in sky ?	yes balloon in sky . large smiling girl with leg crossed touching small sandbox on her right is right of mike .	1	
um no .	are you just placing the sun	i 'm giving you directions on what is in my picture	0	
---	how does it look ?	---	0	
small sun right corner . sky on the right of it and touching top edge . all visible .	okay what else do you see ?	below left edge of sun is med happy legs crossed girl , looking right , k	0	
sad girl facing right with a crown on her head	where is she ? what size is she ?	surprised boy facing left with a pirate hat on , both are sitting crossed legged they are in the grass below the cloud	1	
	hello . how many people are in your scene ?	2	0	
---	done it	---	0	
right	and sun which part is cut top or right	top right about 1 4 . small cat and dog facing right	1	
soccer ball at the tip of tant , girl under sun with hand in the air , boy under tree sitting facing left	girl under sun with one hand in the air or both hands ?	booths	1	
to the right of that is a girl in front of a tree .	my apologies , i am having trouble getting the clipart to move .	oh ok . let me know when you do that and i 'll check .	0	
	is the hot dog in the correct place ?		0	
	hello and what do you see ?	i see a boy playing soccer on green grass	0	
boy happy , both arms outstretched , placed left of apple tree , top of head just on horizon line	how far from apple tree and which way is he facing ?	boy facing center , about half an inch left of tree	1	
the boy is sitting in the sandbox i mean	okay gotcha where 's the box compared to the tree ? directly below it ?	yes	1	
sandbox should have corner almost touching burger . bucket should be in top right corner of sandbox	okay . fixed . anything else ?	nope that 's all . good job	0	
it 's close , just move everything down the eyes of the people are right where the green and blue meet in the middle	ok , going to submit it , thanks	thanks	0	
---	is she sitting	---	1	
large sad girl sitting cross legs upper right hand holding yellow bottle	facing which way ? sitting where ?	eyes even with horizon on the left	1	
why is bee toy in sky ?	ok sorry , what else ?	girl is lower on the right of box	0	
the tree is large and has a squirrel home inside .	is the man standing or sitting ?	he is standing and looks a little angry or surprised .	1	
---	is the boy smiling ?	---	1	
he is small , surprised expression , facing the tree .	which hand is holding frisbee ?	his left hand	1	
she is very happy and so is the boy , same expression	is she sitting w her legs out ?	the sun is in the top right corner and part of its spokes are cut off by the corner both top and right	1	
yes they are , move cat behind dog and make medium and you are done . thanks	great i fixed : thanks to you too .		0	
his hair is a little into the blue and his backhand is about half inch from the left edge	is the large ? as in how far down in the green does his body go ?	put his hair a little above the green and he is big	1	
helicopter is in grass . blades below horizon	i moved the grill to where girl is kicking it . helicopter in grass ?	her foot almost touches red bottom of grill .	1	
med fluffy tree center of grass in finger down from the middle , hole facing right .	any of the tree cut off at the top ? then next item	yes the top . girl sits on far left , smiling with one hand out of scene .	1	
really good , move girl down a nudge tree up the same nudge . done . thanks	thx !		0	
it is a fir tree . the bench is small . the boy sits in front of the tree with a duck .	is the boy happy , surprised or angry	angry . also , the girl stands smiling in front of the bench holding and owl .	1	
tree is right side , girl left of tree , table center , then boy on the far left of the scene .	read what you said , tree is center . next , let`s end	the tree is not center . it is on the far right of scene .	0	
ready	please advice me the size of objects and tell from our perspectives , not the objects . i am ready !	right side of scene small pine tree top and right edge cut off	1	
right hand is in the air	is the girl facing right or left ?	left i believe	1	
is whole not cornered there is a cat straight down from the sun	is the cat small or large ? and where in height on the green ?	is mad about a inch from bottom inch from the side	1	
he 's under but to the right of the sun	well hopefully that 's close wish i could see ! thanks !	great job , . thanks .	0	
looks pretty good .	good deal thanks .		0	
they are both facing right , boy closest to the bear , so it goes bear boy girl good ?	yes done thanks	thanks	0	
hello , there is a little girl running on the left , a bot in the middle with a hot dog . he is right of a fire	expressions and positions of hands , sad or happy ?	both kids angry faces . girl left both hands out . boy sitting , both arms outstretched , hotdog his right , kite his left .	1	
behind tree is large rain cloud in middle of grass at top edge is smiling girl running left holding balloons	is she touching the tree ?	no . feet above horizon 1 inch from right edge is medium boy facing left in witch hat	1	
large cloud on left in corner 1 3 cut off	of top ? left side ? or both ?	large rocket on left facing left at tip of cloud	1	
big size .	tree top and left edge cut ?	half top and half left cut . on the right side of the scene is a cloud , big size , top and right part of the cloud is cut .	1	
the by ?	is the boy small or medium ?	boy is small	1	
medium size slide on right side . angry boy in front of the slide at the left .	okay what way is he facing ?	boy is facing left . he is throw freebie with left hand .	1	
left from the boy is a girl , sitting yoga style , one arm up , big size , facing left . lines with boy . under the pine tree .	okay i have the girl	looks good . great work . thanks	0	
only the top cloud is not visible , make cat smaller	is the cat level with the boy 's head ?	yes slightly lower but head	1	
---	expression ?	---	1	
	are both kids there ?	there is a boy on the right sitting cross legged and looking to the left .	1	
yes	are they both close to the table ?	give her sunglasses and move sun to the right side corner	1	
girl is facing left . happy boy sitting with arm behind him facing right large	how close are the boy and girls feet to each other ?	he is an inch to left of the girl facing her . he is holding a hot dog	1	
a small bear is on center , and faces right . armpits are at horizon line .	i added the bear , what else should i add ?	on right side , a surprised boy with hands on front and faces left . the boy wears a mitt on right hand .	0	
no apples . on right of tree , a slide faces left .	that 's all i got	half of the slide above horizon line .	0	
tiny yellow ball is in top right side of sandbox . small campfire is to top right of sandbox . boy has teeth . wearing blue	the fire is burning the plane ?	no , fire is completely on grass . plane totally in sky except extreme bottom tip on horizon	1	
beach ball at his knees	tree with hole ?	can i check , it 's a pine tree	1	
half inch from side 1 inch from top of screen , inch and a half from the bottom of the screen	okay , i think i 've got it so far .	small cloud in upper right corner 1 25 of inch from side 1 25 of a inch from top 1 1 2 inch from the green line	0	
at the end of his tail is a small maple tree . clear weather	are there children there	on the right hand side about an inch from a edge is a boy walking to the left with large smile on face	0	
no she just a girl	lol . duh	np next to grill standing boy , smiling , right hand touching grill boy wearing pirates hat facing right	0	
move boy closer to left border , smaller tree a little closer to center , lower the ball to the height of his foot done	so it 's not 4 cm		1	
small on right midway down	what is ?	chopper small swing on right facing left	1	
---	done . any other adjustments ?	---	0	
---	what about the boy ?	---	1	
at the top there is a rain cloud , just to the left of center . half the cloud is off the top edge .	so there s two type of clouds	right . in front of the rain cloud are the two kids , both cross legged and angry . jenny on the left , mike on the right , holding hands .	1	
	what do you have	ok large tree in middle with frisbee stuck in the lower right side	0	
no , there is a rain cloud top middle of the frame .	awesome ok		0	
far left mouth at horizon facing right	arms out boy , happy	yes . l r boy , dog , tree behind , angry girl w fire cloud above	1	
a boy with smiling face his arms are little bit up and he is facing left side , and he is just touching the table 's right corner	okay . is table in middle of grass or whole picture ?	middle of grass , a girl with happy face her arms are in air and she is looking at the boy placed in table 's left corner	1	
---	are you there ?	---	0	
in air over girl head	what are the sizes of each thing in comparison to each other	med	1	
---	ok think i got it	---	0	
girl is standing , dude is more down , football is more down , tree trunk is almost hidden down	the soccer ball down too ? is it touching her feet ?	no not touching , yes soccer down at the edge bottom , tree more right and down	1	
there is a very small cloud in the middle of the sky . very top of cloud is cut off	helicopter facing left ?	yes	1	
up right corner is a big sun , right part is cut from the scene	please just keep typing stuff in as quick as possible or we will be here forever .	i can`t type until you say something .	0	
yes	or have to make any changes ?	nope it good	0	
the woman is standing and seems to have thrown the ball towards the man in this one and the balloon is further away	ok , changed that , any other suggestions ?	that 's about it	0	
his hand touches the trunk . also reduce cloud size and you should be good .	left hand ?	correct .	1	
boy standing smiling in middle of pic his elbow touches the horizon , snake looking at boy	what position are the boys arms in ?	outstretched toward girl standing next to him with arms up in air	1	
---	what position of the girl	---	1	
a tree in the middle	apple or pine ?	neither	1	
	is there a boy and girl in the picture ?	on left is large sun cut off just rays on top and left edge , on right rocket facing right	0	
from left to right in the grass is a boy facing right wearing star cap , and purple glasses feet crossed	is he smiling with teeth showing ?	next to him or between him and a girl on the left is a duck facing right	1	
medium sized	boy and girl to the right or left	boy far left than girl and finally table on the right all in a row same distance from bottom border	1	
great work !	thanks , you too		0	
the slide is in the wrong direction	ok turned the slide around . is the boy 's posture & position ok . what way is dog facing ?	the dog is facing the girl they are also both wearing hats . the girls hat is yellow , the boys that is blue	1	
he is big	the hat and bat are big too ? and is the bat leaning towards the helicopter , or towards the boy ?	big bat big hat , leaning toward helicopter 1 25 of a inch form the blades on the helicopter	1	
there is a medium apple tree opposite the pine tree .	okay . does it go off the top and sides also ? are the trunks on the same level ?	the trunk starts slightly above . the right side of the apple tree is cut off , about a 1 4 of the tree . the top is not cut off	1	
yes	what face ?	sad face	1	
girl on far left of table facing right smiling reaching	backup . is boy sitting or standing ? sorry i missed that	standing running position	1	
left side top from 2 inch one small size plane facing left side	got the plane	let me check	0	
a football is in the air in between them . small cat in bottom right corner . looking right .	ok , is there anything else in there ?	oops cat is looking left .	0	
---	is she sitting ?	---	1	
the boy has his legs out and smiling , one hand in the air , other than that looks good	okay cool . thanks		0	
it has nothing to do with the picture it 's what i saw what was on your end ?	what ? they switched the picture or something ?	nah i used my chance and that 's what i saw that you did	0	
	star	hi , right side small bushy tree with hole facing left .	0	
balloons behind the right 2 swing set legs . girl has a witch 's hat crosses horizon , holding mustard bottle in her right hand .	in a minute i can peek and then tell you what to change .	boy has a burger in his right hand . hot air balloon in middle of sky on right edge above girl	0	
---	i 'm ready when you are .	---	0	
---	okay got it	---	0	
	hello , i 'm ready :	on the left side , there is a medium tree with the hole facing left . top of the trunk is at the horizon and the hole is next to the edge .	0	
yes , ca n't see her fingers	how close is the cat 's tail to the girl 's knee ?	just about touching	1	
yes the green line is at his mouth	is he right under the sun or ?	about a half an inches from the right corner	1	
slide	is the snake facing left or right and what sizes are they small medium or big ?	boy standing smiling in middle of pic his elbow touches the horizon , snake looking at boy	1	
yes	go from left to right	boy with sad face swing behind him a girl on the right throwing a football .	0	
wassup . there is a small sun in the upper left corner . there is a sandbox in the middle of the image and two people on opposite sides	is the sand big or small ? and where are the people and please describe them	the orange cat is standing directly behind the boy on the right side while the boy throws the basketball	1	
no teeth in her smile .	what part of her is on the horizon line ?	his face has a o , her shoulders are level with the horizon	1	
tree looks good , kids should be standing , cloud beside the tree	on what side ?	right side , tree to the left	1	
	is the pole of the swingset above any part of the grill ?		1	
---	which girl	---	1	
	which cloud is higher , the plain one or the rain cloud ?		1	
sure , great day	same		0	
right bottom corner sandbox , on sandbox one girl sitting kneeling looking left side one hand raised and waring black galls	ok , is sand pile on right or left ?	right side , sandbox right edge little bit cut	1	
---	ok i think i got that .	---	0	
it look medium	i have all your elements in there want to take a look tell me what i need to adjust ?	you did a good job just move the boy closer to the tree	0	
large kids . right of tree cross leg girl sad facing right large snake head at lowered hand	i hope that 's right	good job , make cloud bigger , move boy to cover left side of tree . done	0	
	is there a girl or boy in your picture ?	no . there is a snake right in the middle near the bottom .	0	
medium upper left grass , top cut a bit , medium balloons , far upper right corner	what is top left ?	apple sorry , frisbee center picture , just above grass , medium boy under apple , shorts at trunk , hands in front facing right	1	
the sun is only 2 3rds visible	tree is whole and large in size	tree is 2 3rds on screen , left half off screen	1	
there is a boy and a girl and a very large tree .	who is on the left ?	the girl is to the left . she is in a pink jumpsuit and excited . she is wearing a colorful hat .	1	
from left to right girl running with hot dog waist aligned with horizon mark	did you use the chance and see	2 . balloon third of the way from top .	0	
a small plane is on the left , a half finger from left .	in which side plane facing ?	a big sandbox is on the lower left , fully visible .	1	
there is a lot in picture	okay . what 's the size of everything ?	looks to be med size	1	
	please give details a few at a time .	there is a sad boy on your left hand side sitting down with a blue cap on head facing you .	0	
	is there a person ?	ok ok the left place a big apple tree in the middle of the grass with a hole in the tree on the left	0	
boy is below green line except from above his eyes , girl is at the bottom	is anything cut off	just the tip of the day on the sun	1	
large snake in middle of pic , 1 4 from bottom	which direction is the head ?	large slide , right side , bottom right leg of slide is up against the right border , 2 1 2 rungs up later at horizon line , snake facing left	1	
bear facing left and medium size boy facing left with leg out ball is left of the boy	are boy and ball also medium size ?	ball small boy medium	1	
yes go for it !	thanks and thanks for your patience		0	
tree is way up , 3 4 in sky , kids are bigger , flip girl , slide is fully visible	okay all fixed	did you move cat	0	
medium rocket , pointing up , on left , almost touching	alright , how about the people ? what are they doing ?	large cloud , right , 2 '' from right , top close	1	
---	which way is he facing	---	1	
boy on left facing right , raises glass , hand on hip , smile at horizon line	how big of a boy and where on the horizon ?	boy is half a screen high horizon= sky meets land line	1	
she is also happy	is campfire large ? like that description `` she 's mirrored '' . anything else ?	it is medium	1	
then move up so that top is above horizon . make sure top of balloon is cut off .	yup i corrected that earlier , tent moved up	finished .	0	
the top of her head just touches .	is her hand close to the log ?	i think the fire is small . the sun is probably medium . it is a little way from it and a little down for the one that sticks out towards her .	1	
boy is under and slightly to the right . the bottom of his foot is one inch from bottom , other foot is up as if he is kicking .	what size is he and is he kicking left or right	he faces the right , he is large , and has on a blue cap	1	
center right a big bear facing left , armpits at horizon	is bear to the left of jenny ?	to the right of jenny , a hand almost touches the cloud . mad mike between jenny and bear .	1	
jenny blue cap mike faces left , his head horizon wearing a pirate hat , he is also kicking he is close to the edge of the screen not cut off	where is jenny standing	to the right of the rain	1	
angry boy , fire in the middle , sitting surprised girl , cloud in sky , cat under fire and duck between girl and fire	boy on left or right , standing ? girl on right or left . what is she doing ?	boy sitting on left fully in grass , then fire directly in middle in grass tip touching where grass meets the sky then girl sitting	1	
helicopter needs to face right , sandbox needs to be closer to lower right , tent need to be on left covering most of bear .	okay , i fixed that .	ok	0	
yes and softball also	no clouds ? then check	blue sky	0	
move dog to left just a little , the rest is perfect	were the sizes ok ?	perfect	0	
---	hello do you have a scene to describe ?	---	0	
and that 's it !	okay , i will submit then	k	0	
no bear 's foot is n't touching sandbox and he 's wearing a chef 's hat yes can see the nose	can you see bears right ear ?	his nose is right above the horizon line . can barely see it	1	
with a pail in it , and up in upper right a cloud with just a smidge cut off on right and top	okay what is in the sandbox ?	a pail	1	
under the tent is a dog with a hamburger in his mouth	where is the dog facing ?	to the right and there is a tennis ball on the far left side of the screen	1	
please , lower the boy below the tree , the girl faces to the left .	okay , what else is there		0	
directly to his left is a large picnic table . the lower right corner is covered by mike 's torso .	i have too many things on the left at the moment .	the tree should be on the right edge . a cat sits facing left on top of the table in the middle .	0	
left of tree trunk is girl facing right jumping sad ball above her right eye or eye on left 1 inch from top	what face does he have ? i have two runners	smiling	1	
boy with hands up smiling on right of table	is he in front of the tree at all	yes girl standing smiling on side of table to the left	1	
slide facing left , medium size , half at horizon	where is the slide ? left side or right ?	in front of boy	1	
almost , girl was facing the wrong way when i looked .	ok i flipped we are good now ?	yep !	0	
small tent facing left far right , , bbq center grass big	ok , which way is tent facing	small tent facing left read again	1	
---	where is it ?	---	1	
---	alright thank you	---	0	
yes it is on left , a hot dog on the right side of the girl is big or medium , and a pirate hat on her and that would be it , she 's medium	she 's holding hot dog ?	yes right hand	1	
there is an angry girl on the left of the screen	is she kicking or are her arms out ?	she is kicking	1	
boy and girl holding hands his leg is up in the air there is a picnic table behind them and a cat under it	what about the girl 's position ?	standing there with him with arms out to him	1	
	i guess you 're gone		0	
---	hello . ready here .	---	0	
there 's a surprised girl running to the right on the right . below here is a small dog .	dog facing the same way ?	i 'm sorry , the girl is facing left . dog is facing left . there 's a bear in front of her with purple glasses	1	
yes	please let me know if i have it right or not	right	0	
sun is late , stage left , upper part of screen . there is some space between left edge and sun	where is the cat and how big is it ?	small cat , just to right of middle , near bottom	1	
pull girl down til top of her head is at horizon line and add sad boy standing on other side of tree faced left with one arm waving	done , great ! thanks !	then you are good , boys neck at horizon line , thanks	0	
	is the boy near the swing ?		1	
part of it i see apples showing one is right on the line of the screen	okay . six apples with one on the edge .	yes right at the edge of the trunk is a sandbox , the hump is toward the left hand side	0	
i 'm gon na check now ,	it will only let you do short messages	movie tree and balloon up , make text larger and table smaller , make food smaller	0	
owl 1 '' from snake , small sun top right , not touching	which way is the snake facing and which way is the owl facing ?	snake and owl facing right , hot air balloon , almost touching top and almost touching tree	1	
there is three small clouds in the upper left . two above the other . one of those two on top has lightning and the other has rain	you can only do one of each thing so one has to be no lightning or rain . which order does it go	one has rain . another has lightning	1	
on the left side is a surprised girl wearing a rainbow hat with a cat to her left and an owl to her right	alright what is next	nothing . that is everything	0	
girl to the left of the sun . arms up with a baseball mitt on her left hand . smiling with blond braids and a pink dress	do n't worry about describing girl , just her expression and arms . and the boy ?	arms up , smile , tongue out	1	
boy and girl growing , boy standing , knee bent , girl sitting , legs out	which direction are the boy and girl facing	dog next to her , his nose above her fingers barely , the boy and girl are facing each other	1	
on left side of tree in front smiling running boy arms bent holding football right side high eyes above horizon	ok got mikey	yes bear is large , to right of bear smiling girl wearing purple glasses facing left teeth at horizon line left arm up holding tennis racket	0	
put dog more in corner , both kids jumping , their waists even with horizon , both happy arms up , arms crossing each other	is any part of the dog cut off ?	nine , dog body covering tips of swing legs	1	
---	awesome	---	0	
small sun in the top right corner and little bit on top is cut off	ok where is the tree and is it an apple tree or one with a hole in trunk or christmas looking tree and is any cut off	tree is on the left side and there is no apples in it . hold in the trunk cut off on the side and top	1	
the trunk is about an inch from the left and half and inch from the bottom . the tent is facing right	is the tent opening on the left , and how much of the tent is above horizon ?	the tent opening is on right both corners are above horizon with the opening corner just barely over horizon	1	
standing , smiling boy with teeth showing is facing right he is to the right and a bit above the grill	are his arms up	no the are out in front of his body ; smiling girl with hands in air is to the right of the boy & facing the boy	1	
edit : it 's o face girl ! and that 's it check ?	yes go ahead !	she 's facing right too	0	
---	ok thank you	---	0	
boy on left , picnic table in middle , girl on the right .	what objects are they holding	no objects held . boy has hands in the air , girl looks like she is about to pick up the pie .	0	
movie tree and balloon up , make text larger and table smaller , make food smaller	well , i adjusted the picnic table .		0	
looks behind the girl a bit , the girl is closer	you need to be more specific please , which side is boy on ?	they are both facing right , goes boy girl swing , behind swing tree in front bee	1	
---	is she happy	---	1	
bear is wearing sunglasses	really ? wow	yes , i 'll peek now	0	
part is cut off	is right side cut off	your right hand side	1	
	should i flip the pine tree ?		1	1
center of screen , small sun . top of sun touching top of screen .	i do n't have a apple tree	that 's strange . really ?	0	
they both have the same expression . surprised open mouth . cat is right next to boys right leg .	ok , why do n't you look at the cheat , and tell me how i did , and if anything needs to be changed .	the balloons in girls hands could be smaller and also the tree is smaller . hot air balloon should move left a little .	0	
big beach ball is over boy closer to top than head and a little more right than center over him .	done any	that is it . i will check .	0	
